,NO,Time,FcName,FcCode,FcLoc,water_use,Cl_Val,Cl_Unit,pH_Val,pH_Unit,tb_Val,tb_Unit
0,1080,2022050324,부안정수장,4580012360,전북 부안군 변산면,생활정수,0.8228,mg/L,6.7889,pH,0.0306,NTU
1,1079,2022050324,밀양정수장,4827012381,경남 밀양시 산외면,생활정수,0.5257,mg/L,7.0914,pH,0.0445,NTU
2,1078,2022050324,운문정수장,4782012340,경북 청도군 운문면,생활정수,0.7571,mg/L,7.1429,pH,0.0425,NTU
3,1077,2022050324,온산정수장,3171012336,울산시 울주군 온산읍,공업용수,0.0280,mg/L,7.4311,pH,0.5204,NTU
4,1076,2022050324,구천정수장,4831012332,경남 거제시 신협읍,생활정수,0.8323,mg/L,7.1439,pH,0.0505,NTU
5,1075,2022050324,청주정수장,4311112353,충북 청주시 상당구,공업용수,0.1576,mg/L,7.6361,pH,0.4719,NTU
6,1074,2022050324,시흥정수장,4127312314,경기도 안산시 선부2동,생활정수,0.8482,mg/L,7.6440,pH,0.0612,NTU
7,1073,2022050324,황지정수장,4219012371,강원도 태백시 황지동,생활정수,0.8640,mg/L,7.2462,pH,0.0730,NTU
8,1072,2022050324,천안정수장,4413112355,충남 천안시 동남구,공업용수,0.4527,mg/L,7.0369,pH,0.3085,NTU
9,1071,2022050324,보령정수장,4418012359,층남 보령시 웅천읍,생활정수,0.8966,mg/L,7.6368,pH,0.0516,NTU
10,1070,2022050324,송전정수장,4273012356,강원도 횡성군 횡성읍,생활정수,0.5772,mg/L,7.5264,pH,0.0359,NTU
11,1069,2022050324,별량정수장,4615012368,전남 순천시 별량면,생활정수,0.8289,mg/L,7.1944,pH,0.0542,NTU
12,1068,2022050324,양산정수장,4833012382,경남 양산시 상북면,생활정수,0.5317,mg/L,7.0741,pH,0.0430,NTU
13,1067,2022050324,반송정수장,4812312335,경남 창원시 성산구,생활정수,0.6629,mg/L,6.7864,pH,0.0784,NTU
14,1066,2022050324,산성정수장,4518012363,전북 정읍시 옹동면,생활정수,0.8918,mg/L,7.5723,pH,0.0472,NTU
15,1065,2022050324,동화정수장,4574012385,전북 장수군 변암면,생활정수,0.7529,mg/L,7.0635,pH,0.0650,NTU
16,1064,2022050324,반월정수장,4127112311,경기도 안산시 상록구,생활정수,1.0075,mg/L,7.4259,pH,0.0530,NTU
17,1063,2022050324,석성정수장,4476012351,충남 부여군 석성면,생활정수,0.8265,mg/L,7.5030,pH,0.0513,NTU
18,1062,2022050324,금산정수장,4471012372,충남 금산군 남일면,생활정수,0.5502,mg/L,7.7355,pH,0.0882,NTU
19,1061,2022050324,고양정수장,4128512319,경기도 고양시 일산동구,생활정수,0.8905,mg/L,7.5550,pH,0.0687,NTU
20,1060,2022050324,공주정수장,4415012357,충남 공주시 유구읍,생활정수,0.6990,mg/L,7.4381,pH,0.0362,NTU
21,1059,2022050324,성남정수장,4113112313,경기도 성남시 수정구,생활정수,0.8295,mg/L,7.4949,pH,0.0474,NTU
22,1058,2022050324,덕소정수장,4136012317,경기도 남양주시 와부읍,생활정수,0.8610,mg/L,7.4003,pH,0.0457,NTU
23,1057,2022050324,충주정수장,4313012380,충북 충주시 용탄동,생활정수,0.8356,mg/L,7.8566,pH,0.0388,NTU
24,1056,2022050324,천안정수장,4413112355,충남 천안시 동남구,생활정수,0.7269,mg/L,7.1103,pH,0.0692,NTU
25,1055,2022050324,아산정수장,4420012354,충남 아산시 영인면,생활정수,0.7163,mg/L,7.2883,pH,0.0512,NTU
26,1054,2022050324,고산정수장,4571012367,전북 완주군 고산면,생활정수,0.8926,mg/L,7.3395,pH,0.0414,NTU
27,1053,2022050324,덕정정수장,4680012386,전남 장흥군 부산면,생활정수,0.9588,mg/L,7.3691,pH,0.0554,NTU
28,1052,2022050324,군산정수장,4513012365,전북 군산시 내흥동,공업용수,0.0242,mg/L,7.3075,pH,0.9568,NTU
